,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
275,bov,SAPR11.SA,SANEPAR     UNT     N2,19.62,2021-03-01,2021-03-25,24 days,13.02,2022-01-10,21 days,11.49,87.5,88.23,0.73,328.03,3,1.53,54.72,51.09,False,True
276,bov,SOJA3.SA,BOA SAFRA   ON      NM,14.17,2021-07-22,2021-12-30,161 days,20.96,2022-01-26,5 days,-0.51,3.11,-2.43,5.54,-0.54,156,21.47,-10.19,13.76,False,True
277,bov,PSSA3.SA,PORTO SEGUROON      NM,19.9,2021-07-27,2021-08-20,24 days,15.72,2022-01-24,7 days,3.06,29.17,19.46,9.71,2.23,17,12.66,43.68,74.46,False,True
278,bov,FRTA3.SA,POMIFRUTAS  ON      NM,4.9,2021-10-25,2021-12-20,56 days,7.28,2022-01-27,4 days,-0.39,7.14,-5.4,12.54,-0.47,52,7.67,-9.82,14.75,True,False
279,bov,CPFE3.SA,CPFL ENERGIAON      NM,28.51,2021-10-22,2022-01-31,101 days,14.52,2022-01-06,25 days,11.78,24.75,81.1,56.35,1.47,76,2.74,47.11,3.61,False,True
280,bov,BBSE3.SA,BBSEGURIDADEON      NM,23.03,2021-09-08,2021-11-09,62 days,20.24,2022-01-12,19 days,17.81,30.65,88.01,57.37,1.56,43,2.43,93.75,5.64,False,False
281,bov,RCSL3.SA,RECRUSUL    ON,3.96,2021-10-21,2022-01-03,74 days,29.6,2022-01-24,7 days,-1.03,9.46,-3.48,12.94,-0.29,67,30.64,-14.74,45.73,False,True
282,bov,EGIE3.SA,ENGIE BRASILON      NM,40.38,2021-08-05,2022-01-31,179 days,12.68,2022-01-06,25 days,7.18,13.97,56.65,42.68,1.36,154,5.5,28.73,3.57,False,True
283,bov,ODPV3.SA,ODONTOPREV  ON      NM,12.43,2021-03-10,2021-09-30,204 days,33.57,2022-01-10,21 days,3.94,10.29,11.72,1.43,27.24,183,29.63,18.74,16.19,False,True
284,bov,UGPA3.SA,ULTRAPAR    ON      NM,15.32,2021-11-04,2021-12-13,39 days,15.5,2022-01-18,13 days,17.92,33.33,115.63,82.3,1.42,26,-2.42,137.85,-9.32,False,False
285,bov,RANI3.SA,IRANI       ON      NM,6.4,2021-10-04,2021-10-18,14 days,18.39,2022-01-21,10 days,3.2,71.43,17.39,54.04,0.33,4,15.19,31.97,379.73,False,True
286,bov,DXCO3.SA,DEXCO       ON      NM,15.12,2021-08-18,2021-12-15,119 days,-2.47,2022-01-31,0 days,-19.88,0.0,805.08,805.08,1.0,119,17.41,-inf,14.63,False,False
287,bov,PETZ3.SA,PETZ        ON      NM,17.48,2021-07-28,2021-08-25,28 days,23.82,2022-01-05,26 days,20.91,92.86,87.78,5.08,21.52,2,2.91,80.41,145.55,False,True
288,bov,VBBR3.SA,VIBRA       ON      NM,22.67,2021-03-08,2021-07-05,119 days,39.93,2022-01-10,21 days,17.29,17.65,43.31,25.66,1.76,98,22.64,82.35,23.1,False,True
289,bov,CMIN3.SA,CSNMINERACAOON      N2,7.04,2021-03-25,2021-05-11,47 days,27.95,2021-11-05,87 days,34.34,185.11,122.84,62.26,2.01,-40,-6.39,39.47,15.96,True,False
290,bov,STBP3.SA,SANTOS BRP  ON      NM,6.82,2021-10-29,2022-01-31,94 days,32.71,2022-01-10,21 days,20.98,22.34,64.14,41.8,1.57,73,11.73,99.89,16.07,False,True
291,bov,GOAU4.SA,GERDAU MET  PN      N1,11.69,2021-11-10,2021-12-16,36 days,18.69,2022-01-06,25 days,3.75,69.44,20.05,49.4,0.41,11,14.94,14.98,135.82,False,True
292,bov,ESPA3.SA,ESPACOLASER ON      NM,6.16,2021-08-17,2021-09-06,20 days,16.06,2022-01-24,7 days,-0.78,35.0,-4.89,39.89,-0.13,13,16.85,-11.21,129.59,True,False
293,bov,UNIP6.SA,UNIPAR      PNB,93.33,2021-11-04,2021-12-30,56 days,42.45,2022-01-21,10 days,2.46,17.86,5.79,12.06,0.52,46,39.99,24.59,86.93,True,False
294,bov,PARD3.SA,IHPARDINI   ON      NM,22.66,2021-11-23,2022-01-31,69 days,21.15,2022-01-05,26 days,20.82,37.68,98.44,60.76,1.65,43,0.33,80.09,0.77,False,True
295,commodities,GC=F,Gold Apr 22,1797.8,2021-09-29,2021-11-17,49 days,7.56,2021-12-02,60 days,1.05,122.45,13.96,108.49,0.13,-11,6.5,1.76,-59.12,True,False
296,commodities,MGC=F,"Micro Gold Futures,Apr-2022",1797.8,2021-09-29,2021-11-17,49 days,7.58,2021-12-02,60 days,1.06,122.45,13.92,108.53,0.13,-11,6.53,1.76,-59.32,True,False
297,commodities,PL=F,Platinum Apr 22,1019.0,2021-09-20,2021-11-15,56 days,17.04,2021-12-15,47 days,12.02,83.93,70.57,13.36,5.71,9,5.02,25.58,55.72,False,True
298,commodities,PA=F,Palladium Mar 22,2406.5,2021-09-29,2022-01-31,124 days,29.86,2021-12-15,47 days,41.39,37.9,138.59,100.69,1.39,77,-11.52,88.06,-14.97,False,True
299,commodities,CL=F,Crude Oil Mar 22,87.51,2021-08-23,2022-01-31,161 days,36.87,2021-12-01,61 days,28.76,37.89,78.03,40.14,1.99,100,8.1,47.15,8.1,False,True
300,commodities,HO=F,Heating Oil Feb 22,2.8,2021-08-23,2022-01-31,161 days,40.71,2021-11-30,62 days,26.97,38.51,66.24,27.73,2.48,99,13.74,43.5,13.88,False,True
301,commodities,NG=F,Natural Gas Mar 22,4.82,2021-04-06,2021-10-05,182 days,96.89,2021-12-30,32 days,34.16,17.58,35.25,17.67,2.11,150,62.73,106.74,41.82,False,True
302,commodities,RB=F,RBOB Gasoline Feb 22,2.57,2021-09-09,2022-01-31,144 days,21.0,2021-12-01,61 days,26.61,42.36,126.7,84.34,1.52,83,-5.61,43.62,-6.76,False,True
303,commodities,BZ=F,Brent Crude Oil Last Day Financ,91.23,2021-08-23,2022-01-31,161 days,35.98,2021-12-01,61 days,26.3,37.89,73.1,35.21,2.14,100,9.68,43.12,9.68,False,True
304,commodities,ZC=F,"Corn Futures,Mar-2022",638.25,2020-08-07,2021-05-07,273 days,93.44,2021-09-13,140 days,24.68,51.28,26.41,24.88,1.11,133,68.77,17.63,51.71,False,True
305,commodities,ZO=F,"Oat Futures,Mar-2022",710.0,2021-05-28,2021-11-19,175 days,74.74,2022-01-14,17 days,13.6,9.71,18.19,8.48,2.43,158,61.15,79.99,38.7,False,False
306,commodities,KE=F,"KC HRW Wheat Futures,Mar-2022",805.0,2021-09-10,2021-11-23,74 days,26.87,2022-01-14,17 days,6.07,22.97,22.6,0.37,36.14,57,20.8,35.72,36.49,False,True
307,commodities,ZR=F,"Rough Rice Futures,Mar-2022",1497.5,2021-11-08,2022-01-26,79 days,12.82,2021-12-15,44 days,8.9,55.7,69.46,13.76,5.44,35,3.92,20.24,11.19,False,True
308,commodities,ZM=F,"Soybean Meal Futures,Mar-2022",414.9,2021-04-13,2021-05-12,29 days,11.7,2021-10-12,111 days,29.5,382.76,252.1,130.66,1.94,-82,-17.8,26.58,21.7,False,True
309,commodities,ZL=F,"Soybean Oil Futures,Mar-2022",66.03,2021-09-20,2022-01-31,133 days,17.43,2021-12-14,48 days,22.02,36.09,126.36,90.27,1.42,85,-4.59,45.88,-5.41,False,True
310,commodities,ZS=F,"Soybean Futures,Mar-2022",1487.25,2020-08-10,2021-05-12,275 days,66.25,2021-11-08,84 days,22.58,30.55,34.09,3.54,13.42,191,43.67,26.88,22.86,False,False
311,commodities,GF=F,"Feeder Cattle Futures,Mar-2022",158.66,2021-10-01,2021-11-26,56 days,8.43,2022-01-28,0 days,-0.17,0.0,-1.98,1.98,-2.02,56,8.6,-inf,15.35,True,False
312,commodities,HE=F,"Lean Hogs Futures,Feb-2022",87.93,2021-09-14,2021-10-01,17 days,13.58,2021-12-08,51 days,21.02,300.0,154.8,145.2,1.07,-34,-7.44,41.22,21.89,False,True
313,commodities,LE=F,"Live Cattle Futures,Feb-2022",138.7,2020-10-28,2021-12-29,427 days,29.98,2021-06-01,241 days,18.79,56.44,62.67,6.23,11.98,186,11.19,7.8,6.02,False,True
314,commodities,CC=F,Cocoa Mar 22,2497.0,2021-07-19,2021-10-05,78 days,17.91,2021-11-30,62 days,7.95,79.49,44.41,35.08,1.3,16,9.96,12.83,62.24,True,False
315,commodities,KC=F,Coffee Mar 22,236.55,2021-09-22,2021-12-06,75 days,32.55,2022-01-03,28 days,4.83,37.33,14.85,22.48,0.69,47,27.72,17.27,58.97,False,True
